Time,MON,TUE,WED,THU,FRI,SAT,SUN
0:00,458,426,481,453,445,487,553
1:00,311,261,267,271,317,377,463
2:00,201,151,174,176,212,265,307
3:00,140,91,138,142,139,225,241
4:00,161,125,135,121,132,200,192
5:00,229,207,224,232,236,223,228
6:00,466,446,435,490,435,353,320
7:00,828,733,683,777,774,639,466
8:00,902,970,898,1007,931,806,685
9:00,898,877,860,912,954,860,780
10:00,842,824,719,865,841,772,778
11:00,760,788,699,750,734,704,817
12:00,683,725,661,673,683,667,717
13:00,598,666,573,579,600,596,718
14:00,601,620,519,581,579,587,653
15:00,573,581,584,546,586,594,582
16:00,626,605,573,587,544,583,684
17:00,638,668,610,639,620,613,651
18:00,752,776,697,769,705,688,777
19:00,792,822,748,795,762,738,721
20:00,823,884,844,857,825,872,860
21:00,845,790,841,915,846,909,917
22:00,758,767,736,823,816,957,818
23:00,593,669,647,689,709,826,642
